Make,Year_of_manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
Toyota,2007,Nigerian Used,166418,2400,Petrol,Automatic,3120000,SUV
Lexus,2007,Nigerian Used,138024,3274,Petrol,Automatic,5834000,SUV
Mercedes-Benz,2008,Nigerian Used,376807,3000,Petrol,Automatic,3640000,SUV
Lexus,2007,Nigerian Used,213362,3274,Petrol,Automatic,3594000,SUV
Mercedes-Benz,2007,Nigerian Used,106199,3274,Petrol,Automatic,8410000,SUV
Mercedes-Benz,2007,Nigerian Used,87660,3274,Petrol,Automatic,5554000,SUV
Lexus,2007,Nigerian Used,191411,3274,Petrol,Automatic,3706000,SUV
Lexus,2007,Nigerian Used,59092,3274,Petrol,Automatic,8410000,SUV
Mercedes-Benz,2007,Nigerian Used,89423,3274,Petrol,Automatic,6506000,SUV
Lexus,2007,Nigerian Used,184827,3274,Petrol,Automatic,4000000,SUV
Lexus,2007,Nigerian Used,42433,3274,Petrol,Automatic,8970000,SUV
Lexus,2007,Nigerian Used,116138,3274,Petrol,Automatic,3034000,SUV
Lexus,2007,Nigerian Used,167583,3274,Petrol,Automatic,3818000,SUV
Lexus,2007,Nigerian Used,240934,3274,Petrol,Automatic,3930000,SUV
Fiat,2007,Nigerian Used,114,3274,Petrol,Automatic,8500000,SUV
Fiat,2007,Nigerian Used,54,3274,Petrol,Manual,12500000,SUV
Lexus,2007,Nigerian Used,79740,3274,Petrol,Automatic,5274000,SUV
Mercedes-Benz,2007,Nigerian Used,338145,3274,Petrol,Automatic,8060000,SUV
Lexus,2007,Nigerian Used,174545,3274,Petrol,Automatic,6506000,SUV
Land Rover,2007,Nigerian Used,63296,3274,Petrol,Automatic,6910000,SUV
Mercedes-Benz,2007,Nigerian Used,93469,3274,Petrol,Automatic,6910000,SUV
Mercedes-Benz,2007,Nigerian Used,63085,3274,Petrol,Automatic,15690000,SUV
Mercedes-Benz,2007,Nigerian Used,131405,3274,Petrol,Automatic,5610000,SUV
Toyota,2007,Nigerian Used,162853,3274,Petrol,Manual,3395000,SUV
Lexus,2007,Nigerian Used,169675,3274,Petrol,Automatic,3146000,SUV
Lexus,2007,Nigerian Used,147574,3274,Petrol,Automatic,3620000,SUV
Lexus,2007,Nigerian Used,70445,3274,Petrol,Automatic,5500000,SUV
Foton,2007,Nigerian Used,54470,3274,Petrol,Manual,4938000,SUV
Lexus,2007,Nigerian Used,130165,3274,Petrol,Automatic,3818000,SUV
Lexus,2007,Nigerian Used,75478,3274,Petrol,Automatic,3497500,SUV
Lexus,2008,Foreign Used,301265,3500,Petrol,Automatic,4680000,SUV
Mercedes-Benz,2007,Nigerian Used,145317,3274,Petrol,Automatic,10650000,SUV
Lexus,2011,Nigerian Used,105546,4600,Petrol,Automatic,14040000,SUV
Lexus,2007,Nigerian Used,60730,3274,Petrol,Automatic,3706000,SUV
Lexus,2007,Nigerian Used,98594,3274,Petrol,Automatic,10650000,SUV
Mercedes-Benz,2007,Nigerian Used,188429,3274,Petrol,Automatic,6170000,SUV
Mercedes-Benz,2007,Nigerian Used,128877,3274,Petrol,Automatic,16332500,SUV
JAC,2007,Nigerian Used,9972,3274,Petrol,Automatic,6730000,SUV
Lexus,2007,Nigerian Used,98226,3274,Petrol,Automatic,4378000,SUV
Lexus,2007,Nigerian Used,211824,3274,Petrol,Automatic,3610000,SUV
JAC,2007,Nigerian Used,35403,3274,Petrol,Automatic,7850000,SUV
Lexus,2007,Nigerian Used,72429,3274,Petrol,Automatic,3818000,SUV
Land Rover,2007,Nigerian Used,82891,3274,Petrol,Automatic,5386000,SUV
Lexus,2011,Foreign Used,211917,3500,Petrol,Automatic,6968000,SUV
Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,9360000,SUV
Lexus,2007,Nigerian Used,97215,3274,Petrol,Automatic,8500000,SUV
Lexus,2007,Nigerian Used,32096,3274,Petrol,Automatic,13450000,SUV
Lexus,2007,Nigerian Used,182533,3274,Petrol,Automatic,11000000,SUV
Lexus,2007,Nigerian Used,81936,3274,Petrol,Automatic,3370000,SUV
Mercedes-Benz,2007,Nigerian Used,146891,3274,Petrol,Automatic,4210000,SUV
Lexus,2007,Nigerian Used,182533,3274,Petrol,Automatic,9000000,SUV
Lexus,2016,Nigerian Used,107355,5700,Petrol,Automatic,42000000,SUV
Toyota,2009,Nigerian Used,134232,2400,Petrol,Manual,4725000,SUV
